city,slug,station,unit,n,n_scored,rmse,bias,sigma_emp,brier,brier_baseline,bss,pit_mean,pit_std,out_of_range_pct,top3_hit_pct
San Francisco,san-francisco,KSFO,F,150,150,2.3002518354244574,2.6286666666666667,2.284916823188295,0.9003807625277447,1.0629689279376449,0.1529566491895028,0.4974564862271071,0.19646638800557545,0.0,51.33333333333333
New York,nyc,KLGA,F,160,160,2.188649967273269,1.3387499999999999,2.1749709049778114,0.8944793659384317,1.4368374511189914,0.3774665566784732,0.49937974298388355,0.1940169203045613,0.0,46.25
Chicago,chicago,KORD,F,160,160,1.914612408508594,1.1006250000000002,1.902646080955415,0.8770456661565997,1.4375362500065028,0.3898966609345452,0.4995506585688103,0.18525114454823083,0.0,65.625
Miami,miami,KMIA,F,159,159,1.5675821291957106,2.3270440251572326,1.55772312209385,0.8527472720797417,1.1076308407078344,0.23011599105096125,0.500414239097173,0.19445450346269455,0.0,68.55345911949685
Dallas,dallas,KDFW,F,159,159,1.738869656259866,1.2540880503144651,1.7279333691135774,0.8634261127226388,1.307503070891894,0.3396374112271374,0.49829491843428214,0.18122404641693857,0.0,71.0691823899371
Seattle,seattle,KSEA,F,160,160,1.9237763154520613,0.9587500000000002,1.911752713480486,0.8769874116690042,1.2732269490524613,0.3112088835995339,0.503518411643679,0.18379142591898434,0.0,61.875
Atlanta,atlanta,KATL,F,159,159,1.855549625516484,2.3685534591194966,1.8438795020855632,0.873905546057164,1.3116745573442412,0.3337481914518735,0.500267480038848,0.18893043354332822,0.0,62.893081761006286
London,london,EGLL,C,160,160,0.7691181056873024,0.43187500000000006,0.7643111175267568,0.6995112496730982,1.104332278463375,0.3665753837726863,0.49912529436709524,0.18885605993537005,0.0,93.75
Tokyo,tokyo,RJTT,C,159,159,1.0756313751986082,-0.06226415094339624,1.0688663979961013,0.784271093446178,1.1040850789552317,0.2896642583121273,0.49628757928278305,0.19042239731289662,0.0,83.01886792452831
Seoul,seoul,RKSI,C,160,160,1.5331862833920422,1.4775,1.523603869120842,0.849783845031512,1.2247334450758813,0.3061479226780962,0.49868612213939995,0.1962588719019908,0.0,65.0
Toronto,toronto,CYYZ,C,159,159,1.0792833676687164,0.34276729559748437,1.0724954219601082,0.7866876891263223,1.327893498476261,0.4075671806292934,0.5013125587089793,0.19423389478651595,0.0,85.53459119496856
Singapore,singapore,WSSS,C,158,158,0.8891694650741144,1.0132911392405062,0.8835418102318736,0.741625568811005,0.7348491826297449,-0.009221465222305936,0.5019776255079019,0.1935967090739083,0.0,91.13924050632912
Paris,paris,LFPG,C,160,160,0.8648013719454846,0.8006249999999998,0.8593963633708255,0.7274561473715462,1.150626832264534,0.36777404543934633,0.49533828410511394,0.18072447667390357,0.0,93.125
Shanghai,shanghai,ZSPD,C,160,160,1.0126965828389247,1.19,1.0063672291961816,0.7734487961503834,1.1488097197032858,0.32673898654848643,0.49766285071157473,0.1949834167780122,0.0,84.375
Buenos Aires,buenos-aires,SAEZ,C,158,158,0.9710198916630256,0.879746835443038,0.9648741961461711,0.7548826734890807,1.1429838777651624,0.33955089990851217,0.5059500490170966,0.17776735528928264,0.6329113924050633,88.60759493670885
Wellington,wellington,NZWN,C,160,160,0.9666809883423683,1.056875,0.9606392321652285,0.7583971362960396,0.9240462137924073,0.17926492747210343,0.5007863533509425,0.18593135812313222,0.0,89.375
Ankara,ankara,LTAC,C,160,160,0.9205963966715562,0.780625,0.914842669192359,0.7460803055992631,1.1492622511403012,0.35081805318237846,0.5067112062198749,0.18640971384393787,0.625,91.875
Tel Aviv,tel-aviv,LLBG,C,163,163,0.9320398967592772,0.22760736196319015,0.9263218605828399,0.7554631152728755,1.0048391355442934,0.24817506748116247,0.5016416573991664,0.19866858981574131,0.0,88.95705521472392
Hong Kong,hong-kong,VHHH,C,163,163,1.2612348337635189,1.3588957055214723,1.2534971967465647,0.8179679192547761,0.9597605213648362,0.1477374813338047,0.5046038063314632,0.19644424725822018,0.0,75.4601226993865
Munich,munich,EDDM,C,163,163,1.0212167775511816,0.8349693251533741,1.0149516439465731,0.7738099601692606,1.2005108267979387,0.3554327517118655,0.5055415674741196,0.191521235518049,0.0,87.11656441717791
Sao Paulo,sao-paulo,SBGR,C,161,161,1.1461613924312752,1.3149068322981365,1.1390423775714538,0.7985270146637925,0.9593869895356588,0.16766953963980913,0.5012494668441037,0.19215860928544493,0.0,78.88198757763976
Lucknow,lucknow,VILK,C,162,162,1.2277184297411092,-1.1759259259259258,1.220139920915547,0.8116733014381529,1.0769049656223662,0.24629068734113446,0.5069720641861675,0.19284051201734348,0.0,81.48148148148148
Warsaw,warsaw,EPWA,C,163,163,0.8538297845713662,0.4858895705521473,0.8485915650341186,0.7299302922308862,1.2580594931672475,0.41979668195719533,0.4963894913727392,0.19153792058892302,0.0,91.41104294478528
Milan,milan,LIMC,C,162,162,1.0015065230776778,0.5790123456790123,0.9953243840463339,0.7643170464647621,1.1805881674693828,0.3525963858310618,0.5048723966401129,0.18188186837511866,0.0,89.50617283950618
Madrid,madrid,LEMD,C,164,164,0.8803172213340338,0.3384146341463413,0.8749494333990702,0.7353754104377246,1.2031673051356502,0.3888003710715733,0.5017484509684538,0.1877453454321659,0.0,92.6829268292683
Taipei,taipei,RCTP,C,163,163,1.3404732811916775,0.4251533742331287,1.3322495187303787,0.8286462595143533,1.0366471872679648,0.20064775201077634,0.5003886164834871,0.19684578216207993,0.0,76.68711656441718
