city,slug,station,unit,n,n_scored,rmse,bias,sigma_emp,brier,brier_baseline,bss,pit_mean,pit_std,out_of_range_pct,top3_hit_pct
San Francisco,san-francisco,KSFO,F,85,85,2.6566974579767177,2.430588235294116,2.6254421937652266,0.8991022488239568,1.1156417909003769,0.1940941472815052,0.486476367359256,0.24516445561562586,0.0,50.588235294117645
New York,nyc,KLGA,F,84,84,2.975039140816282,-1.2071428571428577,2.939622008187517,0.9091438649804443,1.3646487372018048,0.33378909883826047,0.4933818460280011,0.2444056986297863,0.0,45.23809523809524
Chicago,chicago,KORD,F,85,85,1.4814776667562377,-0.751764705882353,1.464048517735576,0.8137314691661198,1.4173348109161408,0.4258720925367395,0.4997270136142248,0.2344767873484309,0.0,74.11764705882354
Miami,miami,KMIA,F,85,85,1.107556246428264,0.6964705882352935,1.0945261729408728,0.7715088152879072,1.0739719292562007,0.2816303720133263,0.4959822441865655,0.24755888066566206,0.0,82.35294117647058
Dallas,dallas,KDFW,F,84,84,1.3929628416791084,-0.5714285714285721,1.3763799507067385,0.8098548474035413,1.3257277779947005,0.3891243279004609,0.5057485511679501,0.2478409272931152,0.0,73.80952380952381
Seattle,seattle,KSEA,F,85,85,1.1378573670522605,0.5364705882352946,1.1244708097928218,0.7625074749033505,1.0767655085049277,0.29185373335176723,0.5039596840653865,0.24081331517811458,0.0,81.17647058823529
Atlanta,atlanta,KATL,F,85,85,1.241408113518029,-0.04352941176470583,1.2268033121825226,0.7852278540788744,1.3427804534593641,0.4152224572111428,0.4894144015543803,0.24162306082939294,1.1764705882352942,80.0
London,london,EGLL,C,84,84,0.5520965201588313,-0.06190476190476192,0.5455239425378927,0.549547444023155,0.9244684351187298,0.40555304740872367,0.50044041351905,0.24776079233839457,0.0,98.80952380952381
Tokyo,tokyo,RJTT,C,83,83,0.7908026479966574,-0.34216867469879514,0.7812749052497097,0.6630744614114673,0.9803345118572793,0.32362427988457865,0.49632564814509567,0.24747164588005788,0.0,92.7710843373494
Seoul,seoul,RKSI,C,82,82,1.4383055154164877,1.6451219512195123,1.420765204252872,0.8217866657390993,1.0824229141969082,0.2407896627458086,0.49430790528311963,0.251424517694365,0.0,67.07317073170732
Toronto,toronto,CYYZ,C,85,85,0.8185768303652898,0.18235294117647058,0.8089465147139334,0.6828416050559137,1.190492266725333,0.4264207973948503,0.4960624671361328,0.23940211952864415,0.0,89.41176470588236
Singapore,singapore,WSSS,C,84,84,0.8474565534338057,0.3690476190476188,0.8373677849405459,0.7019532489950919,0.7663682100797108,0.08405223525375483,0.5066218250621639,0.24768938142349922,0.0,88.09523809523809
Paris,paris,LFPG,C,84,84,0.3799977844095818,-0.05952380952380947,0.37547400126184866,0.45417660389547526,0.949177562900355,0.521505120171962,0.4949452964998317,0.204872481155703,0.0,98.80952380952381
Shanghai,shanghai,ZSPD,C,84,84,0.6145428715071941,0.6642857142857141,0.6072268849416322,0.6105580173854621,1.014355784156858,0.3980829735269231,0.482748221109382,0.23605498481090245,1.1904761904761905,97.61904761904762
Buenos Aires,buenos-aires,SAEZ,C,85,85,0.852222983499883,-0.41529411764705915,0.8421968307528256,0.6672924113271408,0.9642871217152681,0.30799406494181414,0.5094978312375033,0.2217322278713551,1.1764705882352942,94.11764705882352
Wellington,wellington,NZWN,C,84,84,0.5530776662647736,-0.005952380952381227,0.5464934083330502,0.5572778785010657,0.860184341216495,0.35214133552704663,0.5044076213257115,0.24399312250786712,0.0,97.61904761904762
Ankara,ankara,LTAC,C,85,85,0.6465787337648187,0.4917647058823527,0.6389719251322914,0.5940111865305265,0.9422552913182689,0.3695857247991985,0.4868316322805911,0.23062372501230186,1.1764705882352942,97.6470588235294
Tel Aviv,tel-aviv,LLBG,C,88,88,0.6083218634050818,-0.003409090909090816,0.6014091149572967,0.6016480305714587,0.9458527097418354,0.36390938634021075,0.5000908956076341,0.2485161821053672,0.0,96.5909090909091
Hong Kong,hong-kong,VHHH,C,87,87,0.9715977374055226,-1.1586206896551723,0.9604299473204017,0.7456800141966899,0.9099855754360724,0.18055842386363752,0.5142206938350276,0.25339652227123266,0.0,85.0574712643678
Munich,munich,EDDM,C,88,88,0.7669061646631453,0.19431818181818183,0.7581913218828823,0.6659135946144201,1.025322645015929,0.3505326368715139,0.49053408486812666,0.2320580706890503,1.1363636363636365,94.31818181818183
Sao Paulo,sao-paulo,SBGR,C,88,88,1.13343125174444,0.4568181818181818,1.1205513511564351,0.7714801463945423,0.9096461766618394,0.15188985982915892,0.49820764742661017,0.25629762159770086,0.0,80.68181818181817
Lucknow,lucknow,VILK,C,87,87,0.5826126790605017,-1.0459770114942528,0.5759159816000361,0.5585155203385082,1.0217456975984447,0.4533713020262603,0.5007086346694419,0.24364694626069103,0.0,97.70114942528735
Warsaw,warsaw,EPWA,C,88,88,0.48809313203090443,-0.018181818181818146,0.48254661916691693,0.5378135357516823,1.1857907489498918,0.5464515672533647,0.49546109421887946,0.23984895539075,0.0,98.86363636363636
Milan,milan,LIMC,C,88,88,0.831802001654481,0.11477272727272726,0.8223497061811346,0.6880741746558431,1.0133477898467655,0.3209891198757231,0.5035493113308748,0.2500224419884277,0.0,90.9090909090909
Madrid,madrid,LEMD,C,89,89,0.4832258596194521,-0.14269662921348317,0.4777963555787842,0.5044364976344549,1.02230603637215,0.5065699705495772,0.4978155459049126,0.2427909279515855,0.0,98.87640449438202
Taipei,taipei,RCTP,C,88,88,0.6420000703805322,-0.5852272727272727,0.6347046150352987,0.5887984167413106,0.973245193722894,0.39501533576650216,0.5038837637832781,0.2303925559284728,1.1363636363636365,96.5909090909091
